"","domain","phylum","class","order","family","genus","species"
"ASV_5660","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV_1407","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"ASV_2325","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae",NA,NA
"ASV_864","Bacteria","Proteobacteria","Gammaproteobacteria","BD7-8",NA,NA,NA
"ASV_8378","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella",NA
"ASV_8888","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV_9747","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV_1597","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA
"ASV_5430","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae",NA,NA
"ASV_2112","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia",NA
"ASV_1889","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas",NA
"ASV_5358","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_2014","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"ASV_5938","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV_188","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"ASV_8679","Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Sulfurimonadaceae","Sulfurimonas",NA
"ASV_9908","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_8264","Bacteria","Campilobacterota","Campylobacteria","Campylobacterales",NA,NA,NA
"ASV_12279","Bacteria","Campilobacterota","Campylobacteria","Campylobacterales",NA,NA,NA
"ASV_18196","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_1359","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales",NA,NA,NA
"ASV_5729","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales",NA,NA,NA
"ASV_6469","Bacteria","Firmicutes","Clostridia","Lachnospirales",NA,NA,NA
"ASV_4416","Bacteria","Bacteroidota",NA,NA,NA,NA,NA
"ASV_2408","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"ASV_4532","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"ASV_11581","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"ASV_4213","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales",NA,NA,NA
"ASV_2409","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"ASV_1097","Bacteria","Bacteroidota","Bacteroidia",NA,NA,NA,NA
"ASV_3103","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales",NA,NA,NA
"ASV_3180","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Lewinella",NA
"ASV_14223","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"ASV_13985","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"ASV_4175","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"ASV_16049","Bacteria","Bacteroidota",NA,NA,NA,NA,NA
"ASV_1969","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales",NA,NA,NA
"ASV_4605","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"ASV_7039","Bacteria","Bacteroidota","Bacteroidia",NA,NA,NA,NA
"ASV_4993","Bacteria","Bacteroidota","Bacteroidia",NA,NA,NA,NA
"ASV_5401","Bacteria","Bacteroidota","Bacteroidia",NA,NA,NA,NA
"ASV_1365","Bacteria","Bacteroidota","Bacteroidia",NA,NA,NA,NA
"ASV_1701","Bacteria","Bacteroidota","Bacteroidia",NA,NA,NA,NA
"ASV_19137","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Phaeodactylibacter",NA
"ASV_3181","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"ASV_5986","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"ASV_14054","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales",NA,NA,NA
