,collection_date,Speed.cm.s.,Bearing.degrees.,Velocity.N.cm.s.,Velocity.E.cm.s.,Temperature.C.,reef,Genotype,Fragment_number,Month,Year,Fragment_num,day,Survey.,LiveFrag,L,W,H,Adjusted.Area,S01FragCount,Year.x,Si.uM.,NO2.uM.,N.N.uM.,NO3.uM.,PO4.uM.,sample_ID,sample_ID2,Health,Month.x,Samp_trip,joining_info,order,species,time_Reef,Cluster,sampling_trip,X,colour_reef,colour_genotype,colour_reef_genotype,colour_timepoint,colour_timepoint_reef,cluster_latitude,cluster_longitude,cluster_depth,depth,Year.y,Month.y,Lat_decimal,Long_decimal,avgchla_mgm.3,sdchla_mgm.3,avgSST_degC,sdSST_degC
bagnumber-1027,25-Jun-19,4.852118056,122.7859983,0.938289931,3.174027778,30.40800677,cf,HS1,5,June,2019,16.66666667,25,7,0.666666667,NA,NA,NA,86.79706667,7,2019,0.706,0.032,0.893,0.861,0.0685,apal_cf_gHS1_cl15_fr5_AH_2019-06-25,apal_cf_gHS1_cl15_fr5_AH_2019-06-25,AH,June,Trip_3,HS1_Cluster_15_5_cf,16,apal,3_cf,15,3,NA,blue4,greenyellow,mediumpurple,maroon2,black,25.2208297,-80.2102237,-17.6,17.6,2019,June,25.221,-80.21,1.792091669,0.376354381,29.63623347,0.50810265
bagnumber-1510,25-Sep-19,4.795925926,173.2167361,-1.273344907,-0.061684028,28.83825139,cf,HS1,3,September,2019,16.66666667,25,8,1,NA,NA,NA,NA,7,2019,0.066666667,0.033333333,1.551666667,1.518333333,0.046666667,apal_cf_gHS1_cl15_fr3_AH_2019-09-25,apal_cf_gHS1_cl15_fr3_AH_2019-09-25,AH,September,Trip_4,HS1_Cluster_15_3_cf,103,apal,4_cf,15,4,NA,blue4,greenyellow,mediumpurple,greenyellow,lightskyblue,25.2208297,-80.2102237,-17.6,17.6,2019,September,25.221,-80.21,1.193063102,0,29.41867975,0.428518709
bagnumber-1511,25-Sep-19,4.795925926,173.2167361,-1.273344907,-0.061684028,28.83825139,cf,HS1,4,September,2019,16.66666667,25,8,0.666666667,NA,NA,NA,NA,7,2019,0.066666667,0.033333333,1.551666667,1.518333333,0.046666667,apal_cf_gHS1_cl15_fr4_AH_2019-09-25,apal_cf_gHS1_cl15_fr4_AH_2019-09-25,AH,September,Trip_4,HS1_Cluster_15_4_cf,104,apal,4_cf,15,4,NA,blue4,greenyellow,mediumpurple,greenyellow,lightskyblue,25.2208297,-80.2102237,-17.6,17.6,2019,September,25.221,-80.21,1.193063102,0,29.41867975,0.428518709
bagnumber-1512,25-Sep-19,4.795925926,173.2167361,-1.273344907,-0.061684028,28.83825139,cf,HS1,5,September,2019,16.66666667,25,8,0.666666667,NA,NA,NA,NA,7,2019,0.066666667,0.033333333,1.551666667,1.518333333,0.046666667,apal_cf_gHS1_cl15_fr5_AH_2019-09-25,apal_cf_gHS1_cl15_fr5_AH_2019-09-25,AH,September,Trip_4,HS1_Cluster_15_5_cf,105,apal,4_cf,15,4,NA,blue4,greenyellow,mediumpurple,greenyellow,lightskyblue,25.2208297,-80.2102237,-17.6,17.6,2019,September,25.221,-80.21,1.193063102,0,29.41867975,0.428518709
bagnumber-523,28-Feb-19,4.306533713,151.2507597,-1.355175689,-0.230246914,25.89182441,cf,HS1,3,February,2019,16.66666667,28,5,1,NA,NA,NA,NA,7,2019,0.335,0.022,0.996,0.974,0.039,apal_cf_gHS1_cl15_fr3_AH_2019-02-28,apal_cf_gHS1_cl15_fr3_AH_2019-02-28,AH,February,Trip_2,HS1_Cluster_15_3_cf,289,apal,2_cf,15,2,NA,blue4,greenyellow,mediumpurple,blue4,blue4,25.2208297,-80.2102237,-17.6,17.6,2019,February ,25.221,-80.21,0.696025807,0.453908602,25.96821074,0.151485799
bagnumber-524,28-Feb-19,4.306533713,151.2507597,-1.355175689,-0.230246914,25.89182441,cf,HS1,4,February,2019,16.66666667,28,5,0.666666667,NA,NA,NA,NA,7,2019,0.335,0.022,0.996,0.974,0.039,apal_cf_gHS1_cl15_fr4_AH_2019-02-28,apal_cf_gHS1_cl15_fr4_AH_2019-02-28,AH,February,Trip_2,HS1_Cluster_15_4_cf,290,apal,2_cf,15,2,NA,blue4,greenyellow,mediumpurple,blue4,blue4,25.2208297,-80.2102237,-17.6,17.6,2019,February ,25.221,-80.21,0.696025807,0.453908602,25.96821074,0.151485799
bagnumber-525,28-Feb-19,4.306533713,151.2507597,-1.355175689,-0.230246914,25.89182441,cf,HS1,5,February,2019,16.66666667,28,5,0.666666667,NA,NA,NA,NA,7,2019,0.335,0.022,0.996,0.974,0.039,apal_cf_gHS1_cl15_fr5_AH_2019-02-28,apal_cf_gHS1_cl15_fr5_AH_2019-02-28,AH,February,Trip_2,HS1_Cluster_15_5_cf,291,apal,2_cf,15,2,NA,blue4,greenyellow,mediumpurple,blue4,blue4,25.2208297,-80.2102237,-17.6,17.6,2019,February ,25.221,-80.21,0.696025807,0.453908602,25.96821074,0.151485799
bagnumber-641,1-Mar-19,5.33154908,147.0394632,-1.811840491,-0.73696319,26.09618972,pr,HS1,3,March,2019,108.6666667,1,5,1,NA,NA,NA,NA,7,2019,0.504,0.015,0.729,0.714,0.037,apal_pr_gHS1_cl112_fr3_AH_2019-03-01,apal_pr_gHS1_cl112_fr3_AH_2019-03-01,AH,March,Trip_2,HS1_Cluster_112_3_pr,328,apal,2_pr,112,2,NA,greenyellow,greenyellow,black,blue4,orangered,24.9845578,-80.4166775,-16.8,16.8,2019,March,24.985,-80.416,0.39995314,0.163012005,25.99442252,0.248382455
bagnumber-634,1-Mar-19,5.33154908,147.0394632,-1.811840491,-0.73696319,26.09618972,pr,HS1,4,March,2019,108.6666667,1,5,1,NA,NA,NA,NA,7,2019,0.504,0.015,0.729,0.714,0.037,apal_pr_gHS1_cl108_fr4_AH_2019-03-01,apal_pr_gHS1_cl108_fr4_AH_2019-03-01,AH,March,Trip_2,HS1_Cluster_108_4_pr,322,apal,2_pr,108,2,NA,greenyellow,greenyellow,black,blue4,orangered,24.9845645,-80.4166745,-16.8,16.8,2019,March,24.985,-80.416,0.39995314,0.163012005,25.99442252,0.248382455
bagnumber-642,1-Mar-19,5.33154908,147.0394632,-1.811840491,-0.73696319,26.09618972,pr,HS1,4,March,2019,108.6666667,1,5,1,NA,NA,NA,NA,7,2019,0.504,0.015,0.729,0.714,0.037,apal_pr_gHS1_cl112_fr4_AH_2019-03-01,apal_pr_gHS1_cl112_fr4_AH_2019-03-01,AH,March,Trip_2,HS1_Cluster_112_4_pr,329,apal,2_pr,112,2,NA,greenyellow,greenyellow,black,blue4,orangered,24.9845578,-80.4166775,-16.8,16.8,2019,March,24.985,-80.416,0.39995314,0.163012005,25.99442252,0.248382455
bagnumber-635,1-Mar-19,5.33154908,147.0394632,-1.811840491,-0.73696319,26.09618972,pr,HS1,5,March,2019,108.6666667,1,5,1,NA,NA,NA,NA,7,2019,0.504,0.015,0.729,0.714,0.037,apal_pr_gHS1_cl108_fr5_AH_2019-03-01,apal_pr_gHS1_cl108_fr5_AH_2019-03-01,AH,March,Trip_2,HS1_Cluster_108_5_pr,323,apal,2_pr,108,2,NA,greenyellow,greenyellow,black,blue4,orangered,24.9845645,-80.4166745,-16.8,16.8,2019,March,24.985,-80.416,0.39995314,0.163012005,25.99442252,0.248382455
bagnumber-637,1-Mar-19,5.33154908,147.0394632,-1.811840491,-0.73696319,26.09618972,pr,HS1,6,March,2019,108.6666667,1,5,1,NA,NA,NA,NA,7,2019,0.504,0.015,0.729,0.714,0.037,apal_pr_gHS1_cl108_fr6_AH_2019-03-01,apal_pr_gHS1_cl108_fr6_AH_2019-03-01,AH,March,Trip_2,HS1_Cluster_108_6_pr,324,apal,2_pr,108,2,NA,greenyellow,greenyellow,black,blue4,orangered,24.9845645,-80.4166745,-16.8,16.8,2019,March,24.985,-80.416,0.39995314,0.163012005,25.99442252,0.248382455
bagnumber-643,1-Mar-19,5.33154908,147.0394632,-1.811840491,-0.73696319,26.09618972,pr,HS1,6,March,2019,108.6666667,1,5,1,NA,NA,NA,NA,7,2019,0.504,0.015,0.729,0.714,0.037,apal_pr_gHS1_cl112_fr6_AH_2019-03-01,apal_pr_gHS1_cl112_fr6_AH_2019-03-01,AH,March,Trip_2,HS1_Cluster_112_6_pr,330,apal,2_pr,112,2,NA,greenyellow,greenyellow,black,blue4,orangered,24.9845578,-80.4166775,-16.8,16.8,2019,March,24.985,-80.416,0.39995314,0.163012005,25.99442252,0.248382455
bagnumber-1991,18-Nov-19,6.636767068,185.807905,-0.950247657,0.06914324,30.00578527,pr,HS1,3,November,2019,108.6666667,18,9,1,NA,NA,NA,NA,7,2019,1.904166667,0.015833333,0.306166667,0.290333333,0.074833333,apal_pr_gHS1_cl112_fr3_AH_2019-11-18,apal_pr_gHS1_cl112_fr3_AH_2019-11-18,AH,November,Trip_5,HS1_Cluster_112_3_pr,196,apal,5_pr,112,5,NA,greenyellow,greenyellow,black,orangered,mediumpurple,24.9845578,-80.4166775,-16.8,16.8,2019,November,24.985,-80.416,0.518854953,0.241585298,27.43930579,0.421254625
bagnumber-1997,18-Nov-19,6.636767068,185.807905,-0.950247657,0.06914324,30.00578527,pr,HS1,3,November,2019,108.6666667,18,9,1,NA,NA,NA,NA,7,2019,1.904166667,0.015833333,0.306166667,0.290333333,0.074833333,apal_pr_gHS1_cl108_fr3_AH_2019-11-18,apal_pr_gHS1_cl108_fr3_AH_2019-11-18,AH,November,Trip_5,HS1_Cluster_108_3_pr,202,apal,5_pr,108,5,NA,greenyellow,greenyellow,black,orangered,mediumpurple,24.9845645,-80.4166745,-16.8,16.8,2019,November,24.985,-80.416,0.518854953,0.241585298,27.43930579,0.421254625
bagnumber-1992,18-Nov-19,6.636767068,185.807905,-0.950247657,0.06914324,30.00578527,pr,HS1,4,November,2019,108.6666667,18,9,1,NA,NA,NA,NA,7,2019,1.904166667,0.015833333,0.306166667,0.290333333,0.074833333,apal_pr_gHS1_cl112_fr4_AH_2019-11-18,apal_pr_gHS1_cl112_fr4_AH_2019-11-18,AH,November,Trip_5,HS1_Cluster_112_4_pr,197,apal,5_pr,112,5,NA,greenyellow,greenyellow,black,orangered,mediumpurple,24.9845578,-80.4166775,-16.8,16.8,2019,November,24.985,-80.416,0.518854953,0.241585298,27.43930579,0.421254625
bagnumber-1994,18-Nov-19,6.636767068,185.807905,-0.950247657,0.06914324,30.00578527,pr,HS1,4,November,2019,108.6666667,18,9,1,NA,NA,NA,NA,7,2019,1.904166667,0.015833333,0.306166667,0.290333333,0.074833333,apal_pr_gHS1_cl108_fr4_AH_2019-11-18,apal_pr_gHS1_cl108_fr4_AH_2019-11-18,AH,November,Trip_5,HS1_Cluster_108_4_pr,199,apal,5_pr,108,5,NA,greenyellow,greenyellow,black,orangered,mediumpurple,24.9845645,-80.4166745,-16.8,16.8,2019,November,24.985,-80.416,0.518854953,0.241585298,27.43930579,0.421254625
bagnumber-1995,18-Nov-19,6.636767068,185.807905,-0.950247657,0.06914324,30.00578527,pr,HS1,5,November,2019,108.6666667,18,9,1,NA,NA,NA,NA,7,2019,1.904166667,0.015833333,0.306166667,0.290333333,0.074833333,apal_pr_gHS1_cl108_fr5_AH_2019-11-18,apal_pr_gHS1_cl108_fr5_AH_2019-11-18,AH,November,Trip_5,HS1_Cluster_108_5_pr,200,apal,5_pr,108,5,NA,greenyellow,greenyellow,black,orangered,mediumpurple,24.9845645,-80.4166745,-16.8,16.8,2019,November,24.985,-80.416,0.518854953,0.241585298,27.43930579,0.421254625
bagnumber-1993,18-Nov-19,6.636767068,185.807905,-0.950247657,0.06914324,30.00578527,pr,HS1,6,November,2019,108.6666667,18,9,0.666666667,NA,NA,NA,NA,7,2019,1.904166667,0.015833333,0.306166667,0.290333333,0.074833333,apal_pr_gHS1_cl112_fr6_AH_2019-11-18,apal_pr_gHS1_cl112_fr6_AH_2019-11-18,AH,November,Trip_5,HS1_Cluster_112_6_pr,198,apal,5_pr,112,5,NA,greenyellow,greenyellow,black,orangered,mediumpurple,24.9845578,-80.4166775,-16.8,16.8,2019,November,24.985,-80.416,0.518854953,0.241585298,27.43930579,0.421254625
bagnumber-1996,18-Nov-19,6.636767068,185.807905,-0.950247657,0.06914324,30.00578527,pr,HS1,6,November,2019,108.6666667,18,9,0.666666667,NA,NA,NA,NA,7,2019,1.904166667,0.015833333,0.306166667,0.290333333,0.074833333,apal_pr_gHS1_cl108_fr6_AH_2019-11-18,apal_pr_gHS1_cl108_fr6_AH_2019-11-18,AH,November,Trip_5,HS1_Cluster_108_6_pr,201,apal,5_pr,108,5,NA,greenyellow,greenyellow,black,orangered,mediumpurple,24.9845645,-80.4166745,-16.8,16.8,2019,November,24.985,-80.416,0.518854953,0.241585298,27.43930579,0.421254625
bagnumber-1400,2-Jul-19,5.229809028,168.4638715,-1.321232639,-1.796015625,30.03842786,pr,HS1,3,July,2019,108.6666667,2,7,1,NA,NA,NA,81.09633333,7,2019,0.5265,0.0215,1.5805,1.559,0.023,apal_pr_gHS1_cl112_fr3_AH_2019-07-02,apal_pr_gHS1_cl112_fr3_AH_2019-07-02,AH,July,Trip_3,HS1_Cluster_112_3_pr,74,apal,3_pr,112,3,NA,greenyellow,greenyellow,black,maroon2,slategrey,24.9845578,-80.4166775,-16.8,16.8,2019,July,24.985,-80.416,1.507777124,0.964905694,29.49291322,0.704735448
bagnumber-1401,2-Jul-19,5.229809028,168.4638715,-1.321232639,-1.796015625,30.03842786,pr,HS1,4,July,2019,108.6666667,2,7,1,NA,NA,NA,75.5097,7,2019,0.5265,0.0215,1.5805,1.559,0.023,apal_pr_gHS1_cl112_fr4_AH_2019-07-02,apal_pr_gHS1_cl112_fr4_AH_2019-07-02,AH,July,Trip_3,HS1_Cluster_112_4_pr,75,apal,3_pr,112,3,NA,greenyellow,greenyellow,black,maroon2,slategrey,24.9845578,-80.4166775,-16.8,16.8,2019,July,24.985,-80.416,1.507777124,0.964905694,29.49291322,0.704735448
bagnumber-1403,2-Jul-19,5.229809028,168.4638715,-1.321232639,-1.796015625,30.03842786,pr,HS1,4,July,2019,108.6666667,2,7,1,NA,NA,NA,75.5097,7,2019,0.5265,0.0215,1.5805,1.559,0.023,apal_pr_gHS1_cl108_fr4_AH_2019-07-02,apal_pr_gHS1_cl108_fr4_AH_2019-07-02,AH,July,Trip_3,HS1_Cluster_108_4_pr,77,apal,3_pr,108,3,NA,greenyellow,greenyellow,black,maroon2,slategrey,24.9845645,-80.4166745,-16.8,16.8,2019,July,24.985,-80.416,1.507777124,0.964905694,29.49291322,0.704735448
bagnumber-1404,2-Jul-19,5.229809028,168.4638715,-1.321232639,-1.796015625,30.03842786,pr,HS1,5,July,2019,108.6666667,2,7,1,NA,NA,NA,53.6781,7,2019,0.5265,0.0215,1.5805,1.559,0.023,apal_pr_gHS1_cl108_fr5_AH_2019-07-02,apal_pr_gHS1_cl108_fr5_AH_2019-07-02,AH,July,Trip_3,HS1_Cluster_108_5_pr,78,apal,3_pr,108,3,NA,greenyellow,greenyellow,black,maroon2,slategrey,24.9845645,-80.4166745,-16.8,16.8,2019,July,24.985,-80.416,1.507777124,0.964905694,29.49291322,0.704735448
bagnumber-1402,2-Jul-19,5.229809028,168.4638715,-1.321232639,-1.796015625,30.03842786,pr,HS1,6,July,2019,108.6666667,2,7,1,NA,NA,NA,93.87543333,7,2019,0.5265,0.0215,1.5805,1.559,0.023,apal_pr_gHS1_cl112_fr6_AH_2019-07-02,apal_pr_gHS1_cl112_fr6_AH_2019-07-02,AH,July,Trip_3,HS1_Cluster_112_6_pr,76,apal,3_pr,112,3,NA,greenyellow,greenyellow,black,maroon2,slategrey,24.9845578,-80.4166775,-16.8,16.8,2019,July,24.985,-80.416,1.507777124,0.964905694,29.49291322,0.704735448
bagnumber-1405,2-Jul-19,5.229809028,168.4638715,-1.321232639,-1.796015625,30.03842786,pr,HS1,6,July,2019,108.6666667,2,7,1,NA,NA,NA,93.87543333,7,2019,0.5265,0.0215,1.5805,1.559,0.023,apal_pr_gHS1_cl108_fr6_AH_2019-07-02,apal_pr_gHS1_cl108_fr6_AH_2019-07-02,AH,July,Trip_3,HS1_Cluster_108_6_pr,79,apal,3_pr,108,3,NA,greenyellow,greenyellow,black,maroon2,slategrey,24.9845645,-80.4166745,-16.8,16.8,2019,July,24.985,-80.416,1.507777124,0.964905694,29.49291322,0.704735448
bagnumber-1717,26-Sep-19,5.699322917,195.807853,-1.235636574,-2.002650463,28.79111019,pr,HS1,3,September,2019,108.6666667,26,8,1,NA,NA,NA,NA,7,2019,0.2,0.025714286,0.934285714,0.907142857,0.082857143,apal_pr_gHS1_cl112_fr3_AH_2019-09-26,apal_pr_gHS1_cl112_fr3_AH_2019-09-26,AH,September,Trip_4,HS1_Cluster_112_3_pr,151,apal,4_pr,112,4,NA,greenyellow,greenyellow,black,greenyellow,ivory3,24.9845578,-80.4166775,-16.8,16.8,2019,September,24.985,-80.416,0.838890013,0.313347159,29.12767665,0.509866187
bagnumber-1718,26-Sep-19,5.699322917,195.807853,-1.235636574,-2.002650463,28.79111019,pr,HS1,4,September,2019,108.6666667,26,8,1,NA,NA,NA,NA,7,2019,0.2,0.025714286,0.934285714,0.907142857,0.082857143,apal_pr_gHS1_cl112_fr4_AH_2019-09-26,apal_pr_gHS1_cl112_fr4_AH_2019-09-26,AH,September,Trip_4,HS1_Cluster_112_4_pr,152,apal,4_pr,112,4,NA,greenyellow,greenyellow,black,greenyellow,ivory3,24.9845578,-80.4166775,-16.8,16.8,2019,September,24.985,-80.416,0.838890013,0.313347159,29.12767665,0.509866187
bagnumber-1720,26-Sep-19,5.699322917,195.807853,-1.235636574,-2.002650463,28.79111019,pr,HS1,4,September,2019,108.6666667,26,8,1,NA,NA,NA,NA,7,2019,0.2,0.025714286,0.934285714,0.907142857,0.082857143,apal_pr_gHS1_cl108_fr4_AH_2019-09-26,apal_pr_gHS1_cl108_fr4_AH_2019-09-26,AH,September,Trip_4,HS1_Cluster_108_4_pr,154,apal,4_pr,108,4,NA,greenyellow,greenyellow,black,greenyellow,ivory3,24.9845645,-80.4166745,-16.8,16.8,2019,September,24.985,-80.416,0.838890013,0.313347159,29.12767665,0.509866187
bagnumber-1741,26-Sep-19,5.699322917,195.807853,-1.235636574,-2.002650463,28.79111019,pr,HS1,5,September,2019,108.6666667,26,8,1,NA,NA,NA,NA,7,2019,0.2,0.025714286,0.934285714,0.907142857,0.082857143,apal_pr_gHS1_cl108_fr5_AH_2019-09-26,apal_pr_gHS1_cl108_fr5_AH_2019-09-26,AH,September,Trip_4,HS1_Cluster_108_5_pr,163,apal,4_pr,108,4,NA,greenyellow,greenyellow,black,greenyellow,ivory3,24.9845645,-80.4166745,-16.8,16.8,2019,September,24.985,-80.416,0.838890013,0.313347159,29.12767665,0.509866187
bagnumber-1719,26-Sep-19,5.699322917,195.807853,-1.235636574,-2.002650463,28.79111019,pr,HS1,6,September,2019,108.6666667,26,8,1,NA,NA,NA,NA,7,2019,0.2,0.025714286,0.934285714,0.907142857,0.082857143,apal_pr_gHS1_cl112_fr6_AH_2019-09-26,apal_pr_gHS1_cl112_fr6_AH_2019-09-26,AH,September,Trip_4,HS1_Cluster_112_6_pr,153,apal,4_pr,112,4,NA,greenyellow,greenyellow,black,greenyellow,ivory3,24.9845578,-80.4166775,-16.8,16.8,2019,September,24.985,-80.416,0.838890013,0.313347159,29.12767665,0.509866187
bagnumber-1742,26-Sep-19,5.699322917,195.807853,-1.235636574,-2.002650463,28.79111019,pr,HS1,6,September,2019,108.6666667,26,8,1,NA,NA,NA,NA,7,2019,0.2,0.025714286,0.934285714,0.907142857,0.082857143,apal_pr_gHS1_cl108_fr6_AH_2019-09-26,apal_pr_gHS1_cl108_fr6_AH_2019-09-26,AH,September,Trip_4,HS1_Cluster_108_6_pr,164,apal,4_pr,108,4,NA,greenyellow,greenyellow,black,greenyellow,ivory3,24.9845645,-80.4166745,-16.8,16.8,2019,September,24.985,-80.416,0.838890013,0.313347159,29.12767665,0.509866187
bagnumber-590,1-Mar-19,5.33154908,147.0394632,-1.811840491,-0.73696319,26.09618972,pr,CN2,3,March,2019,78.33333333,1,5,1,NA,NA,NA,NA,7,2019,0.504,0.015,0.729,0.714,0.037,apal_pr_gCN2_cl79_fr3_AH_2019-03-01,apal_pr_gCN2_cl79_fr3_AH_2019-03-01,AH,March,Trip_2,CN2_Cluster_79_3_pr,308,apal,2_pr,79,2,NA,greenyellow,blue4,maroon2,blue4,orangered,24.9845458,-80.4165938,-16.7,16.7,2019,March,24.985,-80.416,0.39995314,0.163012005,25.99442252,0.248382455
bagnumber-591,1-Mar-19,5.33154908,147.0394632,-1.811840491,-0.73696319,26.09618972,pr,CN2,4,March,2019,78.33333333,1,5,1,NA,NA,NA,NA,7,2019,0.504,0.015,0.729,0.714,0.037,apal_pr_gCN2_cl79_fr4_AH_2019-03-01,apal_pr_gCN2_cl79_fr4_AH_2019-03-01,AH,March,Trip_2,CN2_Cluster_79_4_pr,309,apal,2_pr,79,2,NA,greenyellow,blue4,maroon2,blue4,orangered,24.9845458,-80.4165938,-16.7,16.7,2019,March,24.985,-80.416,0.39995314,0.163012005,25.99442252,0.248382455
bagnumber-592,1-Mar-19,5.33154908,147.0394632,-1.811840491,-0.73696319,26.09618972,pr,CN2,6,March,2019,78.33333333,1,5,1,NA,NA,NA,NA,7,2019,0.504,0.015,0.729,0.714,0.037,apal_pr_gCN2_cl79_fr6_AH_2019-03-01,apal_pr_gCN2_cl79_fr6_AH_2019-03-01,AH,March,Trip_2,CN2_Cluster_79_6_pr,310,apal,2_pr,79,2,NA,greenyellow,blue4,maroon2,blue4,orangered,24.9845458,-80.4165938,-16.7,16.7,2019,March,24.985,-80.416,0.39995314,0.163012005,25.99442252,0.248382455
bagnumber-737,1-Mar-19,5.33154908,147.0394632,-1.811840491,-0.73696319,26.09618972,pr,ML2,4,March,2019,62.33333333,1,5,1,NA,NA,NA,47.79785,7,2019,0.504,0.015,0.729,0.714,0.037,apal_pr_gML2_cl64_fr4_AH_2019-03-01,apal_pr_gML2_cl64_fr4_AH_2019-03-01,AH,March,Trip_2,ML2_Cluster_64_4_pr,345,apal,2_pr,64,2,NA,greenyellow,orangered,slategrey,blue4,orangered,24.9845404,-80.4165528,-16.7,16.7,2019,March,24.985,-80.416,0.39995314,0.163012005,25.99442252,0.248382455
bagnumber-738,1-Mar-19,5.33154908,147.0394632,-1.811840491,-0.73696319,26.09618972,pr,ML2,5,March,2019,62.33333333,1,5,1,NA,NA,NA,42.5346,7,2019,0.504,0.015,0.729,0.714,0.037,apal_pr_gML2_cl64_fr5_AH_2019-03-01,apal_pr_gML2_cl64_fr5_AH_2019-03-01,AH,March,Trip_2,ML2_Cluster_64_5_pr,346,apal,2_pr,64,2,NA,greenyellow,orangered,slategrey,blue4,orangered,24.9845404,-80.4165528,-16.7,16.7,2019,March,24.985,-80.416,0.39995314,0.163012005,25.99442252,0.248382455
bagnumber-739,1-Mar-19,5.33154908,147.0394632,-1.811840491,-0.73696319,26.09618972,pr,ML2,6,March,2019,62.33333333,1,5,1,NA,NA,NA,54.6345,7,2019,0.504,0.015,0.729,0.714,0.037,apal_pr_gML2_cl64_fr6_AH_2019-03-01,apal_pr_gML2_cl64_fr6_AH_2019-03-01,AH,March,Trip_2,ML2_Cluster_64_6_pr,347,apal,2_pr,64,2,NA,greenyellow,orangered,slategrey,blue4,orangered,24.9845404,-80.4165528,-16.7,16.7,2019,March,24.985,-80.416,0.39995314,0.163012005,25.99442252,0.248382455
bagnumber-1898,18-Nov-19,6.636767068,185.807905,-0.950247657,0.06914324,30.00578527,pr,CN2,3,November,2019,78.33333333,18,9,1,NA,NA,NA,NA,7,2019,1.904166667,0.015833333,0.306166667,0.290333333,0.074833333,apal_pr_gCN2_cl79_fr3_AH_2019-11-18,apal_pr_gCN2_cl79_fr3_AH_2019-11-18,AH,November,Trip_5,CN2_Cluster_79_3_pr,193,apal,5_pr,79,5,NA,greenyellow,blue4,maroon2,orangered,mediumpurple,24.9845458,-80.4165938,-16.7,16.7,2019,November,24.985,-80.416,0.518854953,0.241585298,27.43930579,0.421254625
bagnumber-1899,18-Nov-19,6.636767068,185.807905,-0.950247657,0.06914324,30.00578527,pr,CN2,4,November,2019,78.33333333,18,9,1,NA,NA,NA,NA,7,2019,1.904166667,0.015833333,0.306166667,0.290333333,0.074833333,apal_pr_gCN2_cl79_fr4_AH_2019-11-18,apal_pr_gCN2_cl79_fr4_AH_2019-11-18,AH,November,Trip_5,CN2_Cluster_79_4_pr,194,apal,5_pr,79,5,NA,greenyellow,blue4,maroon2,orangered,mediumpurple,24.9845458,-80.4165938,-16.7,16.7,2019,November,24.985,-80.416,0.518854953,0.241585298,27.43930579,0.421254625
bagnumber-2077,18-Nov-19,6.636767068,185.807905,-0.950247657,0.06914324,30.00578527,pr,ML2,4,November,2019,62.33333333,18,9,1,NA,NA,NA,NA,7,2019,1.904166667,0.015833333,0.306166667,0.290333333,0.074833333,apal_pr_gML2_cl64_fr4_AH_2019-11-18,apal_pr_gML2_cl64_fr4_AH_2019-11-18,AH,November,Trip_5,ML2_Cluster_64_4_pr,233,apal,5_pr,64,5,NA,greenyellow,orangered,slategrey,orangered,mediumpurple,24.9845404,-80.4165528,-16.7,16.7,2019,November,24.985,-80.416,0.518854953,0.241585298,27.43930579,0.421254625
bagnumber-2078,18-Nov-19,6.636767068,185.807905,-0.950247657,0.06914324,30.00578527,pr,ML2,5,November,2019,62.33333333,18,9,0.666666667,NA,NA,NA,NA,7,2019,1.904166667,0.015833333,0.306166667,0.290333333,0.074833333,apal_pr_gML2_cl64_fr5_AH_2019-11-18,apal_pr_gML2_cl64_fr5_AH_2019-11-18,AH,November,Trip_5,ML2_Cluster_64_5_pr,234,apal,5_pr,64,5,NA,greenyellow,orangered,slategrey,orangered,mediumpurple,24.9845404,-80.4165528,-16.7,16.7,2019,November,24.985,-80.416,0.518854953,0.241585298,27.43930579,0.421254625
bagnumber-2079,18-Nov-19,6.636767068,185.807905,-0.950247657,0.06914324,30.00578527,pr,ML2,6,November,2019,62.33333333,18,9,1,NA,NA,NA,NA,7,2019,1.904166667,0.015833333,0.306166667,0.290333333,0.074833333,apal_pr_gML2_cl64_fr6_AH_2019-11-18,apal_pr_gML2_cl64_fr6_AH_2019-11-18,AH,November,Trip_5,ML2_Cluster_64_6_pr,235,apal,5_pr,64,5,NA,greenyellow,orangered,slategrey,orangered,mediumpurple,24.9845404,-80.4165528,-16.7,16.7,2019,November,24.985,-80.416,0.518854953,0.241585298,27.43930579,0.421254625
bagnumber-1425,2-Jul-19,5.229809028,168.4638715,-1.321232639,-1.796015625,30.03842786,pr,CN2,3,July,2019,78.33333333,2,7,1,NA,NA,NA,78.73620833,7,2019,0.5265,0.0215,1.5805,1.559,0.023,apal_pr_gCN2_cl79_fr3_AH_2019-07-02,apal_pr_gCN2_cl79_fr3_AH_2019-07-02,AH,July,Trip_3,CN2_Cluster_79_3_pr,93,apal,3_pr,79,3,NA,greenyellow,blue4,maroon2,maroon2,slategrey,24.9845458,-80.4165938,-16.7,16.7,2019,July,24.985,-80.416,1.507777124,0.964905694,29.49291322,0.704735448
